,ReviewID,SKU,CustomerName,Star,Keyword,Reviews,ReviewDate
20,21,6454281,WyldeBlue,4,Typical decent inkjet print quality w/nice add-ons,"PROs:

- Compact, low-profile all-in-one with minimalist design tucks away unassumingly in a corner of your desk/home office--ideal for students/family light-duty printing
- Simple, fast, almost idiot-proof setup--PC-based app (HP Smart) provided full-screen, animated graphical guides for loading paper, installing ink cartridges, aligning print heads--everything was up and running inside of 5 minutes
- Despite being a budget inkjet with no fancy full-color display, the printer still manages to offer informative and ""family-friendly"" status updates via various LED indicators across the front (purple--network setup, orange--maintenance/printer open, green--power up cycle, white--ready to print) and printer tones/jingles to indicate things like power-up/down, print job finished, successful setup, etc. 
- Despite its low profile, HP managed to squeeze duplex printing capability into the ENVY 6055e so you don't EVER have to futz with figuring out which side and which end goes up to get perfectly-aligned, high-quality printing on both sides of the page
- Text quality is especially good; lettering is crisp and well-defined even on mid-tier quality settings
- Includes 6 months of free HP+ ink service--great for people who like to do all their printing in full-color at high quality; automatically orders/delivers replacement black and tri-color ink cartridges based on usage--after 6 months, costs vary between $0.99 per month (15 pages/mo. with 45 pages of rollover) up to $50 per month (1500 pages/mo. w/4500 pages of rollover)--$4.99 monthly for 100 pages is supposedly the sweet spot for most typical small family use providing hassle-free ink replacement that never requires a trip to the store
- HP Smart app allows printing from smartphone regardless of location; there's even an option to delay the output until the printer senses your phone is within Bluetooth range if you want to keep your printing jobs away from prying eyes
- Thoughtful usability design for ink cartridge maintenance; color-coded ink cartridge slot lids (light-purple and black) help ensure you don't accidentally load the black cartridge into the color cartridge slot
- Finally, a budget flatbed scanner that provides decent optical resolution without needing software interpolation: 1200x1200 dpi hardware optical resolution natively matches printing resolution as well (although color resolution can go all the way up to 4800x1200 depending on the source file's resolution and paper loaded in the tray)
- Copy quality from the scanner glass was surprisingly good--copied output of an inkjet photo page was virtually indistinguishable from the original
- HP Smart app provides a large, easy-to-read and easy-to-navigate tiles and menu pages for accessing and adjusting functions like scanning, photo printing, creating arts & crafts templates/pages, creating ""Shortcuts"" to automate repetitive tasks (like scanning receipts and uploading them to Dropbox), and settings adjustments for resolution, color, paper type, etc.--it's a nice, ""family friendly"" interface that is easy and relatively intuitive to use, much more so than Windows own settings pages
- Although there is a USB port on the back if you want to go with a wired solution, this printer can be set up and remain in operation without EVER connecting any wires to a PC...definitely a plus if you plan on placing this printer in a central location away from a host computer
- Swing-out paper collector at the end of the paper output tray was a neat design touch--allows the guide to tuck away when not in use to keep the printer's footprint down to a minimum
- The printer automatically detects when you raise the scanner cover to load an original onto the scanning glass--this illuminates the copy buttons on the touch-panel display as well as a HUGE digital copy counter; repeatedly pressing one of the copy buttons advances the counter to the number of copies you want to make 

CONs:

- Like most inkjets, this printer struggled to produce large, smooth patches of black--ink banding was clearly evident even in smaller fields of solid black backgrounds (the printer did fare a bit better with multicolored backgrounds, however)
- Like most inkjets, plain paper output was only adequate with stippling pretty visible within the images--it's fine for draft copies, a quick photo on the fridge, or something that's otherwise likely to be disposable, but if you want to keep the output for the long haul and really see the colors pop, you'll need to invest in some higher quality photo paper
- Despite the claimed near laser-jet printing speeds of 10 ppm B&W and 7 ppm color, the average printing speed that most people will probably use (the printer's default or a middling ""set-it-and-forget-it"" print quality) was actually pretty sluggish--in our testing, mid-tier print quality for a single page of mixed text and multiple images took about 27 seconds
- Power management is a bit of a mixed bag. There is a setting that can be adjusted for reduced power consumption (sleep) after so many minutes, but if you use the printer in wireless mode, you cannot access the auto-power off function. This keeps the printer's main LED (above the paper output tray) illuminated at all times. During the day this isn't a big deal, but in a dimly lit room, the white status LED and the blue wireless icon on the touch panel display can get a little bright. If you keep this printer in the same room where you sleep, the LED might even be intrusive during the night
- The two copy buttons on the touch panel, one for color and one for black & white, are identical, save for the fact that the color button slowly changes color, while the black & white button remains lit in a single color. However, the color copy button changes colors relatively slowly, and the black & white color button looked more yellowish than white; there also are some times where the color button's LED is the same color as the black & white LED, even if just for a few moments. It's not a big deal, but it could create a little confusion over which control does what, especially for those who are less technically adept or simply don't take much time to commit the button layout to memory 
- Servicing the printer/changing ink cartridges was a trickier proposition than it probably needed to be. There is a single slide hinge/support in the upper right that keeps the cover locked open while you service the components inside, but opening and closing it seemed to take quite a bit of force. There is no catch-lock or locking button to engage or disengage the hinge lock at the back; the printer simply snaps open or closed by manhandling the cover. The action is not very smooth and I was afraid at first I might actually be damaging the unit due to the force required to get it open. And because the printer is so light, it was pretty easy to slide the unit around while I was wrestling with the cover in the first place. Once you get used to the force required to open and close the lid, it's not so bad; but a smoother mechanism would be more reassuring.

Bottom line:

For a budget all-in-one, the Envy 6055e actually has a lot of nice features and user-friendly design touches that make it pretty well-suited for a typical student's or small family's light-duty printing needs. The connectivity options, physical design, and user interface feel well at home within a modern connected household, and it is doubtful many users will experience difficulties navigating and utilizing the many functions and capabilities the Envy provides. The inclusion of a 6-month trial of the HP+ automatic ink cartridge reordering program may be attractive to some people depending on how much ink they typically consume, but I imagine it will be of some value/comfort especially to those who routinely print LOTS of full-color pages while running their ink tanks down to a nub, but also detest having to go shopping for more ink (or remembering to do so in the first place). Text print quality is very nice while normal quality graphics and image reproduction are adequate, but nothing much to write home about until you step up into specialty papers and high-resolution DPI settings. So long as you're not expecting archival or showpiece-quality photo reproduction, the Envy 6055e is a solid multi-function inkjet printer for the price.",7 months ago
21,22,6454281,APFLORES413,4,Great printing with frustrating set up.,"I was curious to how the new Envy 6055e printer would work. The 6 months of Instant Ink was an immediate draw for me as I do have a lot of printing needs for my home office and for my kids homeschool work. That means we go through so much paper since I don’t want them looking at a screen for too long, so I would need to print their assignments and readings. The 6055e seemed like a great choice and again, the 6 months of Instant Ink was a big contributing factor for me to choose this item. 

Once I removed the printer out of the box, I was struck at the overall size of it. It does seem like a scanner/printer from the late 90’s/early 2000’s. The area that this would cover is rather large compared to all the other 2-in-1 printers out there. Setting up was rather confusing as the 6055e is wireless and does not connect to your home WiFi. Instead, it has it’s own WiFi built in and you connect your device(s) through the HP Smart App. I am familiar with this app as I already have a small HP Photo printer. When powered up and following the initial steps, the printer prints out 3 pages for the Start Guide. I was a little dismayed that you would need to print 3 pages for something that I felt should have already been included in the box. Oh well, so I printed this up and it tells you how to set up with 3 methods: Mobile device, Computer, or Printer’s Control Panel with WPS. Setting this part up should not have been hard, but for some reason my iPhone was having issues with connection with the printer. I finally was able to get the app working and then a fourth page was printed up, and that had the Printer Information Repirt which included the Printer PIN # in order for me to complete the set up process. This was getting ridiculous, but after this, everything else was smooth sailing. 

Using the app is a great addition as our home has become a tech hub.You can check on the status of your printer via the app, and check on various tabs to help enhance your printing experience. Instant Ink is available, as well as easy helps (Fax, Print Photos, Print Documents, Camera Scan and Printer Scan). If you run into issues with your printer, there is a Get Support feature as well. Collecting all of these features into a single app has been very helpful in de-cluttering your Home Screen. 

When looking at the 6055e, you are met with this rather sleek looking device. Underneath the lid, right above the paper tray, the printer emits a glowing light similar to a Ceylon from Battlestar Galactica or the front light of KITT of Knight Rider, but changes color every second. This was a nice touch but rather annoying if you have this in your room and it’s time for bed. There is a small control panel to the lower right of the device that includes 6 icons: Information, Cancel, Resume, Copy, Power, and WiFi. Behind the printer is another power button and a WiFi select button. 

Printing was a joy. You are able to print double-sided and almost to the edge of the page. I test printed a Peanuts cartoon and it left about 1cm edge on all sides. This would be rather useful if I wanted to print up pictures. The printing process was speedy and not too slow. 

Despite my issues on initial set up, this printer is a joy to use. I just wished it was not so large. I am looking forward to utilizing Instant Ink in a few months.",7 months ago
22,23,6454281,Txstatesal,5,Printer from the Future!,"I have had my Envy for under an hour and i'm already looking through my phone for which pictures I can print. Luckily before I got my printer I got some photo paper in case I loved this printer. 

Right off the bat i'll tell you it is amazing to have a printer where I do not need to get on a computer to set it up. This set up was beautiful and simple as can be. It was pretty because the printer is basically walking you through the health of it's setup through these glowing pink, purple, blue, and finally white glowing lights. It is so futuristic looking that I was enamored with the lights and sat there just in silence. 

It is probably the thinnest printer I have ever owned that will help all of the family and it comes with a scanner. The scanner lid is a bit flimsy and scares me since we have some high trafficked technology here that can be handled with tough love but we'll survive. 

All you have to do is download the application, and at the click of a button the printer sets itself up, let me repeat... ""the printer sets itself up""! So once you've plugged the printer in, it walks you through what it needs you to do and the printer does the rest for you. 

We are living in amaizing times when I don't need to download a driver off the internet, open my desktop and set up the printer. 

HP I am in total awe, and I have wondered where printers like this were for years so thanks for making this such an easy and sleek piece of technology to compliment my office. 

I almost want to take everything back out of the printer and restart the setup so that I can watch the magical light show it does for you when you set it up. 

Definitely going to be helpful for me and my family as we maneuver through work from home and distance learning this coming year! Oh and one final thought, take a look at the test page with all those vibrant colors. I have had printers that promote bright and vibrancy but never hold up. This was a part of the set up printer test and it is very clean, bright and crisp!",1 year ago
23,24,6454281,JKinSYR,4,Great looks and fast printing,"One of the best inkjet printers that I've ever used. This is a great all in one machine to print, copy, scan, and print photos. 

I really like the look of this printer on my desk as it looks like something that is modern and contemporary without looking like I work in an old office building. The white color of this printer would fit in any home office setting as it's a great unit for a household. As a home office printer I can print my work documents easily and quickly. The kids are able to print out worksheets and assignments from computers and tablets. As a family we are able to print out our photos conveniently at home and the quality is very nice. 

Setup for this printer is easy to do as the HP Smart app walks you through the process with ease. One thing I like about this printer is that it can connect to the 5G wifi setting within my home, as previous printers never offered that capability. This printer can print effortlessly with wifi printing from my laptop, iPhone XR, iPad. This can be hardwired to your computer if you need, but honestly I find the wifi seems to be much more convenient for everyday situations as we have been running this printer regularly. This printer takes the HP 67 ink cartridges. I'm not a fan of the way that HP locks their proprietary ink cartridges and doesn't allow for less expensive generic cartridges to work on here. 

The pages print quickly, and quietly. There is a nice soft glowing light that accentuates the printouts and serves as a monitor for what status the printer is in. It's definitely a modern day printer that would suit most homes for convenience. HP offers the instant ink subscription program which could be helpful for some, but I am not a fan of buying a device and then having to sign up for a subscription program in order to use the device. Seems like a nickel and dime move but it seems to be the way of the future unfortunately.

PRO:
Easy setup
Good looks
Good print quality
Print from anywhere

CON:
Ink subscription program",1 year ago
24,25,6454281,xKing,5,Great for the home office!,"This is a feature rich, compact, fast printer. Print quality is awesome, sharp lines, vivid colors, especially on the special photo paper.
Printer supports a wide variety of connections - HP ePrint, AirPrint, Google Cloud Print, BLE, Internet Printing Protocol, TCP/9100. Whatever you printing source is - this device got you covered. If you are working from home and your VPN software causes you troubles - you can always use Printer's internal WiFi ""Direct Print"" to connect and print without disconnecting from your work VPN.

Setup is super easy, just power printer on and then use HP ePrint app on your phone, follow directions. Printer will print out a special calibration sheet that it will ask you to scan in order to adjust the printing heads perfectly. That's it! All home computers will recognize the printer automatically.

Note that there is no hardwired ethernet port so WiFi connection is mandatory.

This printer supports HP instant ink which is an interesting subscription based ink delivery model (this is totally optional, you don't have to sign up for it if you don't feel it would be beneficial). You just print what you need (and keep loading paper :) HP will automatically send you ink cartridges, you will always have a fresh set standing by. You pay for amount of pages you print monthly, starting from $2.99 per month (or about $36 annually) for 50 pages per month with up to a 100 pages rollover! No commitments - you can cancel any time. For me this is a perfect option as I don't have to remember to buy cartridges anymore.

There are, of course, more advanced settings available - just use your web browser and navigate to printer's IP address - you will be greeted with a nice web interface and a lot more advanced options such as SNMP, different Wireless settings, etc.

I would definitely recommend it for a small/home office if color print is desirable and you don't need anything bigger than letter. 

Note on scanner - it's just a flatbed, there is no autofeed for the scanner.",1 year ago
25,26,6454281,RebelHips,3,Work from home worthy,"I'm using this while I work from home, and for the 10-15 pages I print a day, it's fine. It doesnt print super fast, and I've been going through ink cartridges quicker than expected, but I love the Bluetooth connectivity and it's low profile. Two things I wish I had paid more attention to before purchasing: The scanner is manual fed. Which means I have to physically put every individual page down to scan. Sometimes, I have a stack of 20 documents to scan and it takes forever to do it! An automatic feeder would have been great. But even worse than that is the blue light that NEVER TURNS OFF! I have this printer in my bedroom and it's really annoying. It's BRIGHT. All that being said, it fits my needs just fine and was right in my budget.",10 months ago
26,27,6454281,VangTfz,5,Excellent compact printer!,"This is a great compact printer! The footprint of this printer allows it to sit just about anywhere in my office without being noticed, and when you do notice it, it looks very minimalistic and aesthetically pleasing!

Setting up the printer was very simple. I followed the steps provided and used my Samsung Galaxy S10+ to download the HP Smart app to connect it to my Wifi network. Adding it through my Windows laptops & desktops was also a breeze as well. Able to print from my mobile devices, laptops, and desktops! The print quality is also top notch. I printed some 5x7 photos and was very happy to see the detailed quality.

Overall, i would definitely recommend this printer if anyone is in need of a small printer with great print quality!",1 year ago
27,28,6454281,KKCNIck,4,Good Printer overall for school/home needs,"Pretty standard printer with a few nice perks. I can see that HP is clearly setting up a more streamlined process of owning a printer. It comes with a toner replenishment service and support you can actual reach someone on. Also the setup uses your smart phone which is nice since most users these days do not have the traditional desktop they did in the past. 

Pros: 
1: Scans easily and fast
2: Prints crisp for an inkjet
3: Has many other functions that are able to be used via mobile device
4: Includes better than standard warranty

Cons:
1: Ink is slightly expensive to replace after trial period
2: Printer interface is sluggish when using via the mobile device to print.

Overall, I would purchase again for the needs of school/home usage if I did not want to deal with ordering ink cartridges or risk running out.",7 months ago
28,29,6454281,rmoran,4,Buying a new printer,"My HP ENVY 4520 I have had for a very long time and it finally went out on me. I sent my husband to Best Buy for a new one and I have had such good luck with the HP ENVY's so I told him to buy that. I am disabled and so I can't always walk so that is why I did no go with him.  He talked to an Associate and asked for a HP ENVY and they gave him this one. I like it, it works great it's I am 63 and new technology needs to be simple. I know on the 4520 series they had a display so I could see what was happening or not happening. This one just has invisible buttons on the side. Again I just need to learn how to use it, it seems user friendly. I would of looked for one with a digital front. It is still a good printer and as I learn it it will become easier.",6 months ago
29,30,6454281,Kayy,5,Best Printer Ever!!,"this printer is amazing!! I own a small business and used to use an Epson (more expensive) for my labels. They didn’t all print the same, ink would smudge and have lines through it, etc. This printer IS AMAZING!!! The color is beautiful, all the ink picks up on the label BEAUTIFULLY, no lines, it looks professionally printed!! and the ink doesn’t smudge!! I’m so happy that I decided to go with this printer! I’ve attached a photo to show how clear the labels print!",10 months ago
30,31,6454281,Monique,5,Great Wireless Printer,"This printer is smaller than the bulkier ones offered nowadays and is so easy to use and manage. That tends to be one of the hardest things for me to find, but this effortlessly will connect to your Wi-Fi and will also print out directions on how to use the printer and/or the copier. I use this for my work and school papers and I have not had a single issue!",3 weeks ago
31,32,6454281,Allie,4,Beautiful printer,"Beautiful, low profile, space saver, functional printer.
Love the automatic ink deliveries.  Only con is that the printer can only be connected to one tech item.  Other tech items will need to use app to print unless I did not set it up correctly.",1 year ago
32,33,6454281,LBeez,3,You get what you pay for. Slow!!,"This is good for the occasional photo printing, and are not in a rush.  It does automatically detect paper size, and  photo printing process is long for me.  I brought because I need a back up printer, It was literally the HP in stock.  It is going back and I am not recommending, you get what you pay for. keep looking.",1 month ago
33,34,6454281,Beckerz,5,"Great, would reccomend for price and hp ink deal","Overall I really like this printer and the clean design. I love the color changing lights used for notification. Took me a second to notice my buttons because they are white and clear to blend in with the design of printer, but they do light up as well if there is an issue. For example, the lights red when out of paper or something. It connected easily to my laptop. Simple set up.",1 month ago
34,35,6454281,ProductiveGreen,5,The Envy of HP,"After visiting several stores and physically seeing HP printer options I decided to visit BestBuy online. I'm glad I did because this printer is exactly what I needed (Print, Copy, and Scan). Plus it's wireless. I can literally print from anywhere. I love the fact that my printer has a dedicated email address. So if I need to receive a hard copy of any document,  I can simply provide someone with my printer's email address and the document prints directly on my printer. I've even printed notes from my cellphone's Samsung Notes App.

My HP Envy is connected to multiple devices (Tablet, cellphone, etc.) and performs functions seamlessly.  

I signed up for HP's Instant Ink which provides me the confidence in knowing I will never run out of ink. Affordable printing plans are available to meet my printing needs. Moreover,  my printer automatically orders my ink cartridges. 

I know my ink levels before printing and whether I'm low on paper.

HP Evny 6055 is perfect for personal, office, and even family use. Whether it's printing, copying,  or scanning  in black and white or color. Whether it's a simple doc, or contract,  or even a color picture,  my HP Envy 6055 performs well.",1 year ago
35,36,6454281,WWC109,5,Great Printer,Price is great for the quality and features. It is compact and not heavy. The different colors of light feature add some fun to the boring office setting!,2 weeks ago
36,37,6454281,Arkhom,5,Great product.,"Easy to set up and install, I really love the easy functions just download  the app and follow the simply instructions.",8 months ago
37,38,6454281,Keeks,2,Save your money!,"I think the positive reviews are either being written by bots or HP employees. This printer is absolutely horrible. No matter what type of paper I use the printing quality sucks. It's perfect for basic printing but I run a small business that requires me to print complex images. It's embarrassing to produce images that are blurry, streaky, and of poor quality. I turned the bleed off, and used HP paper but to no avail. Save your money and purchase a quality printer. This printer is horrible. 
The only pro is the ink subcription.",6 months ago
38,39,6454281,Anonymous,5,My new HP envy is amazingggg!,Having some issues with setting it up to my chromebook. lol I am so not tech savvy but the printer printed off the instructions for me even haha so there is hope for me lol. I love the lighting and everything about my new printer! The ink is good and everything!,6 months ago
39,40,6454281,CherishKeyes,5,"Day 4 since i buy this printer,.","i love this printer, so far so good its been 4 days since i buy this, so i cant say a lot. Lol",1 month ago
40,41,6450663,Jamie,4,Setup Paper Jams,"Noticed a few reviews about paper jam errors during setup, this happened to me too and was about to return product. I finally discovered that the black wheels inside arrived at an angle. It seemed correct since they were tight however after some persistence to fix this error, they tell you to pull up the blue piece to check wheels for paper, while that is open, I managed to press the whole wheel mechanism down more into place so that the black wheels were no longer at a slant (mostly the right side was up too high.) They should be level along with the blue handle, which also arrived at a slant. Hope this helps the next person who encounters this problem on a new, out of the box printer.",1 year ago
41,42,6450663,billr920,5,Network Reliability,"The printer connected to my network immediately. All devices sent print jobs with no issues. I also used the HP app to finish set up. Printing speed is decent. The email function works good. HP has also stepped up internal security for this printer for better performance. The touch screen is very nice, has good response to touch. There are audibles with different uses. The printer acknowledges when a sheet of paper is inserted into the auto feed and the touch screen responds. Color tone Is good, but not fantastic. I consider this to be more of a great office use printer. There is no SD card slot. It does have USB, Ethernet and Fax Ports. The paper feed tray works better than previous HP printers that I have owned. I would have preferred a more rounded edge designed housing, instead to me, It looks like a big square block and very heavy. Over all I think this is a very good printer, has been very reliable so far. HP offers 300 pages per month printing for the first few months at no charge when you sign up for the instant ink program where you choose a set price per month to receive ink as needed that will kick in when the initial period ends. I would recommend this especially if you need a work horse.",2 years ago
42,43,6450663,SirGalahad,4,Does it all,"SETUP: 

Setup was relatively simple. Once you install the ink cartridges it will notify you that you need to install the HP Smart App to finish up. You can use your cell phone, tablet, or PC to do this. I used my Smartphone and it connected to the printer via Bluetooth and then I was able to setup the wireless from there along with everything else. It walks you through all the steps to finish up including a few optional ones. By doing this you also get a year extended warranty (for two years total) and you have 7 days to sign up for 6 months free of HP+. Which is a neat program explained below. Overall, I had no issues with this part of the setup or getting things to work.

I then tried to setup the printer to my PC and ran into some issues. Again, the application is required to get the printer to work which is a bit frustrating. The application had a hard time finding my printer and it wasn’t until I rebooted my printer that my PC was able to find it.

BUILD QUALITY: 

This printer is large, and you’d expect it to be heavy, but it isn’t. Which can be considered a pro or a con. The entire thing is made from plastic (for the most part). But I didn’t notice much creaking or issues and in general it feels solid and well built. The trays feel alright and I would prefer them to be a bit more solid and smooth. The touch screen works better than my previous printer and is a bit more intuitive, but I still think they could improve the OS to be better as it is still clunky and doesn’t feel like a modern device. But that is me being picky.

SPEED/PERFORMANCE: 

They report that it can print 20 pages per minute of normal documents and 10 pages per minute for colored documents. Scanning appeared to be quick. I don’t have a phone line, so I didn’t test the fax. The legibility of the text that is printed is an 8/10. Since it comes with multiple ink cartridges (blue, yellow, _, and black) the colors also look good. But I found that images had a bit of blur to them. This improved with higher quality paper. But if you are wanting amazingly crisp print jobs I’d keep looking. Overall, the performance is right where I’d expect for this price point. I didn’t find it too be too loud. There is also a quiet mode which takes longer to print but reduces overall noise.

HP+:

You have 7 days to redeem 6 months free upon completion of setup. The maximum number of pages you can get per month during the free trial period is 700 pages. It allows you to choose a specific number of pages you plan to print each month and then charges you a set amount per month for it. Prices seem reasonable. If you don’t use all your pages, it can roll over into the next month. They only send out ink (with free shipping) when the printer itself registers it is low, so you are never out of ink. They also report that this is cheaper than buying retail ink and that it comes with more ink, so you refill less often. You can decide if that is just marketing or not. This entire service can be a pro or a con depending on how you feel about signing up for yet another monthly subscription to something. But I’d imagine if you are someone who prints a lot that this would be greatly appreciated, and you’d likely save money. 

FEATURES:

As indicative of the name it is an All-In-One Printer. Which means that you can print documents (1 sided automatically but 2-sided if chosen), scan documents, and fax documents (if you have a phone line connected). You can also print either from your PC or from your phone/tablet. I printed multiple things from my phone and PC without any issues.",8 months ago
43,44,6450663,TechMatcher,5,Smaller & quieter yet full of features!,"I've been an HP printer fan for....well forever. My previous printer was the HP OfficeJet Pro 8610 - which has been a tried and true printer, scanner, copier and fax. However, with some updates to my desktop and laptop computers - I have had GREAT DIFFICULTY scanning to my PC from these older HP printers.

Enter the new HP OfficeJet Pro 8025. First thing I notice is the new printer is about 40% smaller. That helps on my desk space. Next, it is quieter than my previous model. Third, it's a new and modern (two tone) design. Fourth - it scanned to my PC on the first attempt, and worked flawlessly! That alone is the WINNING ticket!

So far - I'm very impressed and will be setting this as my default printer next week.",2 years ago
